,Game,Week,Road Closing Spread,Home Closing Spread
1959,DAL 24 @ MIA 14,11,-2.5,2.5
1960,TB 45 @ PHI 17,11,7,-7
1961,NYJ 17 @ HOU 24,11,-4,4
1962,CIN 31 @ ARI 34,11,4,-4
1963,SF 13 @ SEA 29,11,14,-14
1964,KC 33 @ SD 3,11,-3,3
1965,BUF 13 @ NE 20,11,7,-7
1966,BUF 9 @ MIA 22,11,4,-4
1967,MIN 13 @ CHI 21,11,2.5,-2.5
1968,HOU 23 @ CLE 7,11,4.5,-4.5
1969,PHI 20 @ GB 53,11,4.5,-4.5
1970,SEA 20 @ KC 24,11,-1,1
1971,ATL 19 @ CAR 17,11,-2.5,2.5
1972,CIN 27 @ NO 10,11,8.5,-8.5
1973,TB 27 @ WAS 7,11,6.5,-6.5
1974,DEN 7 @ STL 22,11,-8,8
1975,SF 16 @ NYG 10,11,-4,4
1976,OAK 6 @ SD 13,11,10,-10
1977,DET 6 @ ARI 14,11,-1,1
1978,NE 42 @ IND 20,11,3,-3
1979,PIT 27 @ TEN 24,11,-7,7
1980,IND 30 @ TEN 27,11,-2.5,2.5
1981,NYJ 14 @ BUF 37,11,-1,1
1982,ATL 28 @ TB 41,11,1,-1
1983,DET 27 @ PIT 37,11,-3,3
1984,WAS 16 @ PHI 24,11,4.5,-4.5
1985,SD 16 @ MIA 20,11,-2.5,2.5
1986,BAL 20 @ CHI 23,11,4,-4
1987,CLE 20 @ CIN 41,11,4,-4
1988,OAK 28 @ HOU 23,11,10.5,-10.5
1989,ARI 27 @ JAC 14,11,-9.5,9.5
1990,KC 17 @ DEN 27,11,7.5,-7.5
1991,MIN 20 @ SEA 41,11,13,-13
1992,SF 20 @ NO 23,11,3.5,-3.5
1993,GB 13 @ NYG 27,11,3.5,-3.5
1994,NE 20 @ CAR 24,11,3,-3
1995,MIA 14 @ BUF 19,11,1,-1
1996,TB 27 @ CAR 21,11,-1,1
1997,CLE 20 @ DAL 23,11,7,-7
1998,GB 24 @ DET 20,11,-3,3
1999,JAC 37 @ HOU 43,11,15,-15
2000,ARI 19 @ ATL 23,11,9.5,-9.5
2001,CIN 28 @ KC 6,11,-3,3
2002,PHI 6 @ WAS 31,11,3.5,-3.5
2003,NYJ 27 @ STL 13,11,3.5,-3.5
2004,IND 24 @ NE 59,11,10,-10
2005,NO 38 @ OAK 17,11,-6,6
2006,SD 23 @ DEN 30,11,7.5,-7.5
2007,BAL 13 @ PIT 10,11,-3,3
2008,CHI 7 @ SF 32,11,3.5,-3.5
2009,NYJ 13 @ DEN 17,11,-6,6
2010,BUF 8 @ MIA 35,11,3,-3
2011,CIN 24 @ BAL 31,11,7,-7
2012,JAC 10 @ CLE 14,11,1,-1
2013,OAK 27 @ MIN 21,11,1,-1
2014,CAR 35 @ DET 49,11,7,-7
2015,TB 26 @ GB 35,11,13.5,-13.5
2016,DAL 27 @ WAS 24,11,-7,7
2017,ARI 7 @ SF 23,11,10,-10
2018,SEA 24 @ STL 7,11,3,-3
2019,TEN 17 @ ATL 23,11,6,-6
2020,SD 20 @ CHI 31,11,4.5,-4.5
2021,PHI 17 @ NYG 10,11,6,-6
2022,KC 3 @ NE 34,11,17,-17
2023,CHI 16 @ MIA 0,11,3,-3
2024,OAK 3 @ PIT 35,11,7,-7
2025,HOU 27 @ NYJ 30,11,7,-7
2026,BAL 37 @ CAR 13,11,-13,13
2027,WAS 19 @ TEN 16,11,7,-7
2028,DET 19 @ DAL 35,11,6,-6
2029,GB 31 @ MIN 3,11,-3,3
2030,BUF 49 @ CIN 31,11,4,-4
2031,CLE 20 @ JAC 24,11,3,-3
2032,ARI 13 @ KC 31,11,7,-7
2033,SEA 19 @ NO 34,11,11,-11
2034,ATL 34 @ STL 17,11,-3,3
2035,TB 21 @ SF 0,11,4,-4
2036,IND 28 @ NE 31,11,4,-4
2037,NYG 17 @ PHI 27,11,3,-3
2038,DEN 14 @ SD 35,11,9,-9
2039,MIA 24 @ CAR 17,11,3,-3
2040,CLE 37 @ DET 38,11,3,-3
2041,BUF 15 @ JAC 18,11,9,-9
2042,PIT 24 @ KC 27,11,-11,11
2043,IND 17 @ BAL 15,11,-1,1
2044,ATL 31 @ NYG 34,11,8,-8
2045,SF 24 @ GB 30,11,6,-6
2046,SEA 9 @ MIN 35,11,11,-11
2047,WAS 6 @ DAL 7,11,11,-11
2048,NO 38 @ TB 7,11,-11,11
2049,ARI 21 @ STL 13,11,-9,9
2050,NYJ 14 @ NE 31,11,11,-11
2051,CIN 17 @ OAK 20,11,-9,9
2052,SD 32 @ DEN 3,11,-6,6
2053,PHI 24 @ CHI 20,11,-3,3
2054,TEN 20 @ HOU 17,11,3,-3
2055,NYJ 34 @ NE 31,11,3,-3
2056,DEN 24 @ ATL 20,11,7,-7
2057,OAK 15 @ MIA 17,11,10,-10
2058,BAL 10 @ NYG 30,11,7,-7
2059,HOU 27 @ IND 33,11,8,-8
2060,CHI 3 @ GB 37,11,4,-4
2061,PHI 13 @ CIN 13,11,-9,9
2062,NO 30 @ KC 20,11,-6,6
2063,DET 22 @ CAR 31,11,14,-14
2064,MIN 13 @ TB 19,11,5,-5
2065,STL 16 @ SF 35,11,7,-7
2066,ARI 26 @ SEA 20,11,-3,3
2067,TEN 24 @ JAC 14,11,-3,3
2068,SD 10 @ PIT 11,11,5,-5
2069,DAL 14 @ WAS 10,11,-2,2
2070,CLE 29 @ BUF 27,11,5,-5
2071,SD 17 @ JAC 24,11,3,-3
2072,KC 10 @ IND 13,11,15,-15
2073,OAK 22 @ MIN 29,11,5,-5
2074,CLE 33 @ BAL 30,11,-1,1
2075,TB 31 @ ATL 7,11,-3,3
2076,ARI 35 @ CIN 27,11,3,-3
2077,MIA 7 @ PHI 17,11,10,-10
2078,CAR 17 @ GB 31,11,10,-10
2079,NYG 16 @ DET 10,11,-3,3
2080,NO 10 @ HOU 23,11,2,-2
2081,PIT 16 @ NYJ 19,11,-9,9
2082,WAS 23 @ DAL 28,11,11,-11
2083,STL 13 @ SF 9,11,-3,3
2084,CHI 23 @ SEA 30,11,6,-6
2085,NE 56 @ BUF 10,11,-16,16
2086,TEN 20 @ DEN 34,11,1,-1
2087,IND 17 @ HOU 20,12,3.5,-3.5
2088,CAR 31 @ NO 34,12,10,-10
2089,DEN 3 @ BUF 20,12,3.5,-3.5
2090,DET 16 @ WAS 19,12,-4,4
2091,MIA 24 @ CLE 41,12,11,-11
2092,NYG 14 @ CHI 19,12,6,-6
2093,OAK 3 @ NYJ 34,12,-3.5,3.5
2094,PIT 16 @ CIN 10,12,-5.5,5.5
2095,TB 35 @ ATL 22,12,3.5,-3.5
2096,JAC 20 @ TEN 42,12,4.5,-4.5
2097,DAL 9 @ NE 13,12,5.5,-5.5
2098,GB 8 @ SF 37,12,3,-3
2099,SEA 17 @ PHI 9,12,-1,1
2100,BAL 45 @ LAR 6,12,-3.5,3.5
2101,CHI 23 @ DET 16,12,-3,3
2102,WAS 23 @ DAL 31,12,7,-7
2103,ATL 17 @ NO 31,12,11.5,-11.5
2104,CLE 35 @ CIN 20,12,-1,1
2105,JAC 21 @ BUF 24,12,-3,3
2106,MIA 24 @ IND 27,12,9,-9
2107,NE 27 @ NYJ 13,12,-13,13
2108,NYG 22 @ PHI 25,12,4.5,-4.5
2109,OAK 17 @ BAL 34,12,13,-13
2110,SEA 30 @ CAR 27,12,3,-3
2111,SF 9 @ TB 27,12,1.5,-1.5
2112,ARI 10 @ LAC 45,12,14,-14
2113,PIT 17 @ DEN 24,12,-3,3
2114,GB 17 @ MIN 24,12,4,-4
2115,TEN 17 @ HOU 34,12,3.5,-3.5
2116,MIN 30 @ DET 23,12,-2.5,2.5
2117,LAC 28 @ DAL 6,12,-1,1
2118,NYG 10 @ WAS 20,12,7,-7
2119,BUF 16 @ KC 10,12,8.5,-8.5
2120,MIA 17 @ NE 35,12,17,-17
2121,CAR 35 @ NYJ 27,12,-5.5,5.5
2122,CHI 3 @ PHI 31,12,14,-14
2123,TB 20 @ ATL 34,12,10.5,-10.5
2124,CLE 16 @ CIN 30,12,7.5,-7.5
2125,TEN 20 @ IND 16,12,-3,3
2126,NO 20 @ LAR 26,12,2.5,-2.5
2127,SEA 24 @ SF 13,12,-7,7
2128,DEN 14 @ OAK 21,12,3.5,-3.5
2129,JAC 24 @ ARI 27,12,-6.5,6.5
2130,GB 28 @ PIT 31,12,14,-14
2131,HOU 16 @ BAL 23,12,7.5,-7.5
2132,MIN 13 @ DET 16,12,2,-2
2133,WAS 26 @ DAL 31,12,5.5,-5.5
2134,PIT 28 @ IND 7,12,-8,8
2135,NYG 27 @ CLE 13,12,-6.5,6.5
2136,SF 24 @ MIA 31,12,7,-7
2137,LA 21 @ NO 49,12,7.5,-7.5
2138,TEN 27 @ CHI 21,12,-6.5,6.5
2139,JAC 21 @ BUF 28,12,8.5,-8.5
2140,ARI 19 @ ATL 38,12,3.5,-3.5
2141,CIN 14 @ BAL 19,12,3.5,-3.5
2142,SD 21 @ HOU 13,12,-2.5,2.5
2143,SEA 5 @ TB 14,12,-5,5
2144,KC 30 @ DEN 27,12,3.5,-3.5
2145,CAR 32 @ OAK 35,12,3.5,-3.5
2146,NE 22 @ NYJ 17,12,-9,9
2147,GB 27 @ PHI 13,12,4,-4
2148,PHI 14 @ DET 45,12,3,-3
2149,CAR 33 @ DAL 14,12,-1,1
2150,CHI 17 @ GB 13,12,7.5,-7.5
2151,NO 6 @ HOU 24,12,3.5,-3.5
2152,BUF 22 @ KC 30,12,4.5,-4.5
2153,SD 31 @ JAC 25,12,5,-5
2154,MIN 20 @ ATL 10,12,2,-2
2155,MIA 20 @ NYJ 38,12,4.5,-4.5
2156,NYG 14 @ WAS 20,12,-1,1
2157,OAK 24 @ TEN 21,12,-1,1
